Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-107.15
ASSET,240102001,IETDCUM,-64.12
TOTAL ASSETS,,,-171.27

=== LIABILITIES ===,,,
LIABILITY,130101001,Interest Payable Savings Bank Regular,107.15
LIABILITY,130102001,IPTDCUM,64.12
TOTAL LIABILITIES,,,171.27

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-107.15
EXPENDITURE,240102001,IETDCUM,-64.12
TOTAL EXPENDITURE,,,-171.27

NET PROFIT/LOSS,,,171.27

TOTAL LIABILITIES + NET PROFIT/LOSS,,,342.54
