Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-446.24
ASSET,240102001,IETDCUM,-395.58
TOTAL ASSETS,,,-841.82

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,92344.00
LIABILITY,110102001,Current Account Regular,982003.67
LIABILITY,130101001,Interest Payable Savings Bank Regular,446.24
LIABILITY,130102001,IPTDCUM,395.58
TOTAL LIABILITIES,,,1075189.49

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-446.24
EXPENDITURE,240102001,IETDCUM,-395.58
TOTAL EXPENDITURE,,,-841.82

NET PROFIT/LOSS,,,841.82

TOTAL LIABILITIES + NET PROFIT/LOSS,,,1076031.31
