Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-242053.67
ASSET,240101001,Interest Expenditure Savings Bank Regular,-109.36
ASSET,240102001,IETDCUM,-192.36
TOTAL ASSETS,,,-242355.39

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,2197.92
LIABILITY,110102001,Current Account Regular,149855.75
LIABILITY,130101001,Interest Payable Savings Bank Regular,109.36
LIABILITY,130102001,IPTDCUM,192.36
TOTAL LIABILITIES,,,152355.39

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-109.36
EXPENDITURE,240102001,IETDCUM,-192.36
TOTAL EXPENDITURE,,,-301.72

NET PROFIT/LOSS,,,301.72

TOTAL LIABILITIES + NET PROFIT/LOSS,,,152657.11
