GL_Code,GL_Name,Opening_Bal,DR_Summation,CR_Summation,Closing_Bal
110101001,Savings Bank Regular,264845.00,0.00,10000.00,274845.00
110102001,Current Account Regular,986003.67,0.00,0.00,986003.67
110201001,Term Deposit Cum,150020.00,0.00,0.00,150020.00
110201002,Term Deposit Non Cum,76286.00,0.00,0.00,76286.00
130101001,Interest Payable Savings Bank Regular,930.21,0.00,67.96,998.17
130102001,IPTDCUM,948.23,0.00,73.29,1021.52
140103001,IISTLTR,0.00,0.00,-3.90,-3.90
210201001,OD against TD,-1477154.67,10000.00,0.00,-1487154.67
220202001,CTLR1,0.00,0.00,0.00,0.00
230101001,IRODATD,0.00,-3.90,0.00,3.90
230201001,RBMIS,0.00,0.00,0.00,0.00
240101001,Interest Expenditure Savings Bank Regular,-930.21,67.96,0.00,-998.17
240102001,IETDCUM,-948.23,73.29,0.00,-1021.52
TOTAL,,0.00,10137.35,10137.35,0.00
