Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-221.76
ASSET,240102001,IETDCUM,-245.79
TOTAL ASSETS,,,-467.55

=== LIABILITIES ===,,,
LIABILITY,130101001,Interest Payable Savings Bank Regular,221.76
LIABILITY,130102001,IPTDCUM,245.79
TOTAL LIABILITIES,,,467.55

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-221.76
EXPENDITURE,240102001,IETDCUM,-245.79
TOTAL EXPENDITURE,,,-467.55

NET PROFIT/LOSS,,,467.55

TOTAL LIABILITIES + NET PROFIT/LOSS,,,935.10
