Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-107.62
ASSET,240102001,IETDCUM,-96.18
TOTAL ASSETS,,,-203.80

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,146.00
LIABILITY,110102001,Current Account Regular,149854.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,107.62
LIABILITY,130102001,IPTDCUM,96.18
TOTAL LIABILITIES,,,150203.80

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-107.62
EXPENDITURE,240102001,IETDCUM,-96.18
TOTAL EXPENDITURE,,,-203.80

NET PROFIT/LOSS,,,203.80

TOTAL LIABILITIES + NET PROFIT/LOSS,,,150407.60
