Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-1402153.67
ASSET,240101001,Interest Expenditure Savings Bank Regular,-553.32
ASSET,240102001,IETDCUM,-507.32
TOTAL ASSETS,,,-1403214.31

=== LIABILITIES ===,,,
LIABILITY,110201001,Term Deposit Cum,150020.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,553.32
LIABILITY,130102001,IPTDCUM,507.32
TOTAL LIABILITIES,,,151080.64

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-553.32
EXPENDITURE,240102001,IETDCUM,-507.32
TOTAL EXPENDITURE,,,-1060.64

NET PROFIT/LOSS,,,1060.64

TOTAL LIABILITIES + NET PROFIT/LOSS,,,152141.28
