Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-108.56
ASSET,240102001,IETDCUM,-160.30
TOTAL ASSETS,,,-268.86

=== LIABILITIES ===,,,
LIABILITY,130101001,Interest Payable Savings Bank Regular,108.56
LIABILITY,130102001,IPTDCUM,160.30
TOTAL LIABILITIES,,,268.86

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-108.56
EXPENDITURE,240102001,IETDCUM,-160.30
TOTAL EXPENDITURE,,,-268.86

NET PROFIT/LOSS,,,268.86

TOTAL LIABILITIES + NET PROFIT/LOSS,,,537.72
