Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-606.86
ASSET,240102001,IETDCUM,-581.00
TOTAL ASSETS,,,-1187.86

=== LIABILITIES ===,,,
LIABILITY,130101001,Interest Payable Savings Bank Regular,606.86
LIABILITY,130102001,IPTDCUM,581.00
TOTAL LIABILITIES,,,1187.86

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-606.86
EXPENDITURE,240102001,IETDCUM,-581.00
TOTAL EXPENDITURE,,,-1187.86

NET PROFIT/LOSS,,,1187.86

TOTAL LIABILITIES + NET PROFIT/LOSS,,,2375.72
