Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-332.50
ASSET,240102001,IETDCUM,-281.41
TOTAL ASSETS,,,-613.91

=== LIABILITIES ===,,,
LIABILITY,130101001,Interest Payable Savings Bank Regular,332.50
LIABILITY,130102001,IPTDCUM,281.41
TOTAL LIABILITIES,,,613.91

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-332.50
EXPENDITURE,240102001,IETDCUM,-281.41
TOTAL EXPENDITURE,,,-613.91

NET PROFIT/LOSS,,,613.91

TOTAL LIABILITIES + NET PROFIT/LOSS,,,1227.82
