GL_Code,GL_Name,Opening_Bal,DR_Summation,CR_Summation,Closing_Bal
110101001,Savings Bank Regular,252344.00,0.00,2500.00,254844.00
110102001,Current Account Regular,986003.67,0.00,0.00,986003.67
110201001,Term Deposit Cum,150020.00,0.00,0.00,150020.00
110201002,Term Deposit Non Cum,77786.00,2000.00,500.00,76286.00
130101001,Interest Payable Savings Bank Regular,734.53,0.00,64.68,799.21
130102001,IPTDCUM,728.36,0.00,73.29,801.65
210201001,OD against TD,-1466153.67,1000.00,0.00,-1467153.67
220202001,CTLR1,0.00,0.00,0.00,0.00
230201001,RBMIS,0.00,0.00,0.00,0.00
240101001,Interest Expenditure Savings Bank Regular,-734.53,64.68,0.00,-799.21
240102001,IETDCUM,-728.36,73.29,0.00,-801.65
TOTAL,,0.00,3137.97,3137.97,0.00
