Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-1202053.67
ASSET,240101001,Interest Expenditure Savings Bank Regular,-169.68
ASSET,240102001,IETDCUM,-227.98
TOTAL ASSETS,,,-1202451.33

=== LIABILITIES ===,,,
LIABILITY,110102001,Current Account Regular,1101953.67
LIABILITY,130101001,Interest Payable Savings Bank Regular,169.68
LIABILITY,130102001,IPTDCUM,227.98
TOTAL LIABILITIES,,,1102351.33

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-169.68
EXPENDITURE,240102001,IETDCUM,-227.98
TOTAL EXPENDITURE,,,-397.66

NET PROFIT/LOSS,,,397.66

TOTAL LIABILITIES + NET PROFIT/LOSS,,,1102748.99
