Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-202053.67
ASSET,240101001,Interest Expenditure Savings Bank Regular,-117.60
ASSET,240102001,IETDCUM,-210.17
TOTAL ASSETS,,,-202381.44

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,50100.00
LIABILITY,110102001,Current Account Regular,101953.67
LIABILITY,110201001,Term Deposit Cum,50000.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,117.60
LIABILITY,130102001,IPTDCUM,210.17
TOTAL LIABILITIES,,,202381.44

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-117.60
EXPENDITURE,240102001,IETDCUM,-210.17
TOTAL EXPENDITURE,,,-327.77

NET PROFIT/LOSS,,,327.77

TOTAL LIABILITIES + NET PROFIT/LOSS,,,202709.21
