GL_Code,GL_Name,Opening_Bal,DR_Summation,CR_Summation,Closing_Bal
110101001,Savings Bank Regular,70100.00,0.00,20.00,70120.00
110102001,Current Account Regular,1004177.67,0.00,50.00,1004227.67
110201001,Term Deposit Cum,50000.00,0.00,20.00,50020.00
110201002,Term Deposit Non Cum,77776.00,0.00,10.00,77786.00
130101001,Interest Payable Savings Bank Regular,370.82,0.00,38.32,409.14
130102001,IPTDCUM,319.46,0.00,38.06,357.52
210201001,OD against TD,-1202053.67,100.00,0.00,-1202153.67
240101001,Interest Expenditure Savings Bank Regular,-370.82,38.32,0.00,-409.14
240102001,IETDCUM,-319.46,38.06,0.00,-357.52
TOTAL,,0.00,176.38,176.38,0.00
