Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-370.82
ASSET,240102001,IETDCUM,-319.46
TOTAL ASSETS,,,-690.28

=== LIABILITIES ===,,,
LIABILITY,110102001,Current Account Regular,1004177.67
LIABILITY,110201002,Term Deposit Non Cum,77776.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,370.82
LIABILITY,130102001,IPTDCUM,319.46
TOTAL LIABILITIES,,,1082643.95

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-370.82
EXPENDITURE,240102001,IETDCUM,-319.46
TOTAL EXPENDITURE,,,-690.28

NET PROFIT/LOSS,,,690.28

TOTAL LIABILITIES + NET PROFIT/LOSS,,,1083334.23
