Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-1302153.67
ASSET,240101001,Interest Expenditure Savings Bank Regular,-499.78
ASSET,240102001,IETDCUM,-433.64
TOTAL ASSETS,,,-1303087.09

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,192344.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,499.78
LIABILITY,130102001,IPTDCUM,433.64
TOTAL LIABILITIES,,,193277.42

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-499.78
EXPENDITURE,240102001,IETDCUM,-433.64
TOTAL EXPENDITURE,,,-933.42

NET PROFIT/LOSS,,,933.42

TOTAL LIABILITIES + NET PROFIT/LOSS,,,194210.84
