Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-1100.00
ASSET,240101001,Interest Expenditure Savings Bank Regular,-0.21
TOTAL ASSETS,,,-1100.21

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,900.00
LIABILITY,110102001,Current Account Regular,200.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,0.25
TOTAL LIABILITIES,,,1100.25

=== INCOME ===,,,
INCOME,140102001,IIHLWMN,-0.04
TOTAL INCOME,,,-0.04

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-0.21
TOTAL EXPENDITURE,,,-0.21

NET PROFIT/LOSS,,,0.17

TOTAL LIABILITIES + NET PROFIT/LOSS,,,1100.42
