Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-108.09
ASSET,240102001,IETDCUM,-128.24
TOTAL ASSETS,,,-236.33

=== LIABILITIES ===,,,
LIABILITY,130101001,Interest Payable Savings Bank Regular,108.09
LIABILITY,130102001,IPTDCUM,128.24
TOTAL LIABILITIES,,,236.33

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-108.09
EXPENDITURE,240102001,IETDCUM,-128.24
TOTAL EXPENDITURE,,,-236.33

NET PROFIT/LOSS,,,236.33

TOTAL LIABILITIES + NET PROFIT/LOSS,,,472.66
