Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-240000.00
ASSET,240101001,Interest Expenditure Savings Bank Regular,-85.36
ASSET,240102001,IETDCUM,-32.06
TOTAL ASSETS,,,-240117.42

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,32545.00
LIABILITY,110102001,Current Account Regular,117455.00
LIABILITY,110201001,Term Deposit Cum,90000.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,85.36
LIABILITY,130102001,IPTDCUM,32.06
TOTAL LIABILITIES,,,240117.42

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-85.36
EXPENDITURE,240102001,IETDCUM,-32.06
TOTAL EXPENDITURE,,,-117.42

NET PROFIT/LOSS,,,117.42

TOTAL LIABILITIES + NET PROFIT/LOSS,,,240234.84
