Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-10000.00
ASSET,240101001,Interest Expenditure Savings Bank Regular,-2.23
TOTAL ASSETS,,,-10002.23

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,10625.00
LIABILITY,110102001,Current Account Regular,475.00
LIABILITY,130101001,Interest Payable Savings Bank Regular,2.42
TOTAL LIABILITIES,,,11102.42

=== INCOME ===,,,
INCOME,140102001,IIHLWMN,-0.19
TOTAL INCOME,,,-0.19

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-2.23
TOTAL EXPENDITURE,,,-2.23

NET PROFIT/LOSS,,,2.04

TOTAL LIABILITIES + NET PROFIT/LOSS,,,11104.46
