Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,240101001,Interest Expenditure Savings Bank Regular,-277.13
ASSET,240102001,IETDCUM,-263.60
TOTAL ASSETS,,,-540.73

=== LIABILITIES ===,,,
LIABILITY,110101001,Savings Bank Regular,70100.00
LIABILITY,110102001,Current Account Regular,1081953.67
LIABILITY,130101001,Interest Payable Savings Bank Regular,277.13
LIABILITY,130102001,IPTDCUM,263.60
TOTAL LIABILITIES,,,1152594.40

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-277.13
EXPENDITURE,240102001,IETDCUM,-263.60
TOTAL EXPENDITURE,,,-540.73

NET PROFIT/LOSS,,,540.73

TOTAL LIABILITIES + NET PROFIT/LOSS,,,1153135.13
