Category,GL_Code,GL_Name,Closing_Bal
=== ASSETS ===,,,
ASSET,210201001,OD against TD,-1466153.67
ASSET,240101001,Interest Expenditure Savings Bank Regular,-734.53
ASSET,240102001,IETDCUM,-728.36
TOTAL ASSETS,,,-1467616.56

=== LIABILITIES ===,,,
LIABILITY,110102001,Current Account Regular,986003.67
LIABILITY,130101001,Interest Payable Savings Bank Regular,734.53
LIABILITY,130102001,IPTDCUM,728.36
TOTAL LIABILITIES,,,987466.56

=== INCOME ===,,,
TOTAL INCOME,,,0

=== EXPENDITURE ===,,,
EXPENDITURE,240101001,Interest Expenditure Savings Bank Regular,-734.53
EXPENDITURE,240102001,IETDCUM,-728.36
TOTAL EXPENDITURE,,,-1462.89

NET PROFIT/LOSS,,,1462.89

TOTAL LIABILITIES + NET PROFIT/LOSS,,,988929.45
