GL_Code,GL_Name,Opening_Bal,DR_Summation,CR_Summation,Closing_Bal
110101001,Savings Bank Regular,254844.00,0.00,0.00,254844.00
110102001,Current Account Regular,986003.67,0.00,0.00,986003.67
110201001,Term Deposit Cum,150020.00,0.00,0.00,150020.00
110201002,Term Deposit Non Cum,76286.00,0.00,0.00,76286.00
130101001,Interest Payable Savings Bank Regular,799.21,0.00,64.68,863.89
130102001,IPTDCUM,801.65,0.00,73.29,874.94
210201001,OD against TD,-1467153.67,0.00,0.00,-1467153.67
220202001,CTLR1,0.00,0.00,0.00,0.00
230201001,RBMIS,0.00,0.00,0.00,0.00
240101001,Interest Expenditure Savings Bank Regular,-799.21,64.68,0.00,-863.89
240102001,IETDCUM,-801.65,73.29,0.00,-874.94
TOTAL,,0.00,137.97,137.97,0.00
